player,avg,obp,slg,ops,sb,rbi,runs,hr,walks,gp
Greg Garcia,0.441,0.578,0.676,1.254,0,6,13,2,10,24
Eric Fryer,0.414,0.452,0.483,0.934,0,4,6,0,2,21
Daniel Descalso,0.4,0.455,0.533,0.988,0,9,8,1,3,15
Cameron Maybin,0.372,0.433,0.426,0.858,6,11,17,1,10,25
Daniel Murphy,0.364,0.405,0.598,1.004,2,42,38,11,14,63
Xander Bogaerts,0.356,0.402,0.523,0.925,9,44,51,8,20,62
Reymond Fuentes,0.351,0.4,0.378,0.778,0,5,2,0,3,12
Ichiro Suzuki,0.35,0.414,0.392,0.805,6,9,20,0,13,53
Patrick Corbin,0.344,0.344,0.469,0.813,0,3,5,0,0,15
Jose Altuve,0.344,0.419,0.551,0.97,18,38,46,10,31,66
Jurickson Profar,0.343,0.37,0.514,0.884,0,4,13,2,3,18
David Ortiz,0.341,0.424,0.711,1.135,1,55,29,16,30,57
Danny Valencia,0.338,0.382,0.575,0.957,0,25,30,10,11,44
Wilson Ramos,0.337,0.386,0.564,0.949,0,36,26,10,14,52
Victor Martinez,0.333,0.384,0.519,0.902,0,35,24,9,17,61
Jhonny Peralta,0.333,0.407,0.542,0.949,0,7,4,1,3,7
Steve Pearce,0.333,0.407,0.551,0.958,0,23,21,8,18,45
Ezequiel Carrera,0.333,0.398,0.452,0.85,3,5,21,2,7,43
Hyun Soo Kim,0.333,0.417,0.433,0.851,1,4,11,1,11,29
Martin Prado,0.332,0.374,0.429,0.802,0,21,26,2,16,60
